,Company,Company LinkedIn,Company Location (State),Employee Size,Industry,Phone,Revenue,Website
2,20/20 CUSTOM MOLDED PLASTICS,,,"501-1,000",Plastics Manufacturing,,58M,http://2020cmp.com
7,3-DIMENSIONAL SERVICES GROUP,,Michigan,72,Motor Vehicle Manufacturing,,122200000,3dimensional.com
9,4D SYSTEMS,,Michigan,82,machinery,,$32.5M,4dsysco.com
12,50 FLOOR,,,170,Retail,,65498000,http://www.50floor.com
14,A. STUCKI,,,"501-1,000",Railroad Equipment Manufacturing,,271.6M,http://www.stucki.com
19,A.J. ROSE,,,201-500,Automotive,,120.8M,http://www.AJRose.com
27,AA METALS,,,201-500,Mining,,286.1M,https://www.aametals.com
29,AAMP GLOBAL,,,180,electrical/electronic manufacturing,,35000000,http://www.aampglobal.com
36,"ABBYLAND FOODS, INC",,,"501-1,000",Food and Beverage Manufacturing,,310M,http://www.Abbyland.com
38,"ABLENET, INC.",,Minnesota,96,medical devices,,25000000,ablenetinc.com
42,"ABRASIVE TECHNOLOGY, LLC",,,201-500,Machinery Manufacturing,,$69.6M,https://www.abrasive-tech.com/
45,ABSOLUTE MACHINE TOOLS,,,51-200,Machinery Manufacturing,,36.2M,https://www.absolutemachine.com
52,ACCUPAC,,,"501-1,000",Manufacturing,,200M,https://www.accupac.com/
54,ACCUREX,,Wisconsin,130,machinery,,47000000,accurex.com
56,"ACCUTREX PRODUCTS, INC.",,Pennsylvania,73,mining & metals,,$54M,accutrex.com
59,ACE DORAN HAULING & RIGGING,https://www.linkedin.com/company/16194936,Kentucky,59,Transportation/Trucking/Railroad,,10000000,acedoran.com
61,ACE PRECISION MACHINING,,,201-500,Aviation & Aerospace,,46.9M,http://www.aceprecision.com
63,ACIST MEDICAL SYSTEMS,,,335,medical devices,,200000000,acist.com
65,ACME CRYOGENICS,,,79,Industrial Machinery Manufacturing,,70000000,acmecryo.com
67,ACME MANUFACTURING,,,51-200,Automation Machinery Manufacturing,,42.5M,https://www.acmemfg.com
71,ACS - ENGINEER. INTEGRATE. BUILD.,,Wisconsin,99,Construction,,$75.5M,acscm.com
73,ACS GROUP,,,"501-1,000",Machinery Manufacturing,,33.8M,http://www.acscorporate.com
75,ACTIA CORPORATION,,Indiana,81,electrical/electronic manufacturing,,26000000,actiaus.com
79,ACUMENT GLOBAL TECHNOLOGIES - NORTH AMERICA,,Michigan,890,Automotive,,139000000,fontanagruppoagtna.com
81,ACUTEC PRECISION AEROSPACE,,,201-500,Aviation and Aerospace Component Manufacturing,,42M,http://www.acutecprecision.com/
83,ADAC,,Michigan,632,Automotive,,352700000,adacautomotive.com
85,ADALET,,,230,electrical/electronic manufacturing,,43999000,http://www.adalet.com
87,ADCO CIRCUITS,,,61,"Appliances, Electrical, and Electronics Manufacturing",,27900000,adcocircuits.com
89,ADHESIVES RESEARCH,,,201-500,Chemical Manufacturing,,107.5M,https://www.adhesivesresearch.com/
91,ADKEV,,Indiana,130,plastics,,98200000,adkev.com
93,ADRIAN STEEL,,,51-200,Motor Vehicle Manufacturing,,52M,http://www.adriansteel.com
96,AD-TECH MEDICAL INSTRUMENT CORPORATION,,Wisconsin,66,medical devices,,28000000,adtechmedical.com
100,"ADVANCE TURNING & MANUFACTURING, INC.",,Michigan,65,medical devices,,25000000,advanceturning.com
107,ADVANCED POLYMER COATINGS,,,51-200,Chemical Manufacturing,,35.5M,http://www.adv-polymer.com
114,ADVICS MANUFACTURING OHIO,,,"501-1,000",Motor Vehicle Manufacturing,,40M,http://www.advics-ohio.com
116,ADVICS NORTH AMERICA,,,"1,001-5,000",Motor Vehicle Manufacturing,,188.2M,http://www.advics-na.com
120,AERO METALS INC.,,,69,"Agriculture, Construction, Mining Machinery Manufacturing",,45000000,aerometals.com
122,AEROSTAR (AEROSTAR INTERNATIONAL LLC),,,170,Defense and Space Manufacturing,,25000000,aerostar.com
124,AEROSTAR MANUFACTURING,,Michigan,60,mining & metals,,$27.3M,aerostarmfg.com
127,AEROTECH,,,201-500,Automation Machinery Manufacturing,,117.8M,http://www.aerotech.com
129,AFC INDUSTRIES,,,190,logistics & supply chain,,400000000,http://www.afcind.com
131,AFC-HOLCROFT,,Michigan,85,machinery,,36500000,afc-holcroft.com
137,AGI,,,201-500,Defense and Space Manufacturing,,58M,https://www.agi.com
139,AGRA INDUSTRIES,,Wisconsin,190,Construction,,184600000,agraind.com
141,AH GROUP OF COMPANIES,,Michigan,500,machinery,,44500000,ahgroupna.com
143,AHAUS TOOL & ENGINEERING,,Indiana,60,machinery,,27200000,ahaus.com
145,AHRESTY WILMINGTON,,,"501-1,000",Motor Vehicle Manufacturing,,63.3M,http://www.ahresty.com/
147,AIDA-AMERICA,,,201-500,Machinery Manufacturing,,40.3M,http://www.aida-america.com
151,AIR HYDRO POWER,,Kentucky,170,Industrial Automation,,100000000,airhydropower.com
153,AIRLINE HYDRAULICS,,,201-500,Industrial Automation,,30M,https://www.airlinehyd.com/
155,AIRSTREAM,,,"501-1,000",Motor Vehicle Manufacturing,,375M,http://www.airstream.com
157,AIR-WAY GLOBAL MANUFACTURING COMPANY,,Michigan,91,Construction,,$190.1M,air-way.com
160,AJAX PAVING INDUSTRIES,,Florida,170,Construction,,$274.1M,ajaxpaving.com
165,AKKERMAN - UNDERGROUND CONSTRUCTION EQUIPMENT MANUFACTURER,,Minnesota,54,machinery,,25000000,akkerman.com
167,AKROCHEM,,,51-200,Chemical Manufacturing,,38.7M,http://www.akrochem.com
169,AKRO-MILS,,,201-500,Plastics Manufacturing,,50M,http://www.akro-mils.com
171,ALABAMA OUTDOORS,,,61,Retail,,33915000,http://www.alabamaoutdoors.com
184,ALEXANDRIA INDUSTRIES,,Minnesota,210,mining & metals,,$155.3M,alexandriaindustries.com
190,ALKON,,,51-200,Machinery Manufacturing,,45M,http://www.alkoncorp.com
194,ALL FLORIDA PAPER,,,88,logistics & supply chain,,30132000,http://www.allfloridapaper.com
196,ALLEGHENY BRADFORD CORPORATION,,Pennsylvania,93,machinery,,37500000,alleghenybradford.com
198,ALLEGIS CORPORATION,,,97,Mechanical Or Industrial Engineering,,228900000,allegiscorp.com
200,ALL-FILL,,Pennsylvania,93,Packaging & Containers,,25000000,all-fill.com
204,ALLIANCE PHARMA,,,201-500,Pharmaceutical Manufacturing,,32M,http://www.alliancepharmaco.com/
208,ALLIANT POWER,,Wisconsin,88,Automotive,,34600000,alliantpower.com
210,"ALLIANT TECHNOLOGIES, LLC",,,73,Automation Machinery Manufacturing,,39761000,alliantechnologies.com
214,ALLIED MACHINE & ENGINEERING,,,201-500,Machinery Manufacturing,,93.8M,http://www.alliedmachine.com
218,ALLIED MOULDED PRODUCTS,,,180,electrical/electronic manufacturing,,40000000,http://www.alliedmoulded.com
222,"ALLIED PLASTICS, LLC",,,201-500,Plastics Manufacturing,,45.1M,http://www.alliedplastics.com
