Company,Company LinkedIn,Company Location (State),Employee Size,Industry,Phone,Revenue,Website
13WHAM ABC,,,79,Media Production,,,https://13wham.com/
13WHAM ABC,http://www.linkedin.com/company/13wham-tv,,79,Media Production,,,https://13wham.com/
20/20 CUSTOM MOLDED PLASTICS,,,"501-1,000",Plastics Manufacturing,,58M,http://2020cmp.com
20/20 CUSTOM MOLDED PLASTICS,https://www.linkedin.com/company/15516558,Ohio,"501-1,000",Plastics Manufacturing,,58M,http://2020cmp.com
3 UNDER 3,,,one,,,,
3 UNDER 3,,,seven,,,,
3 UNDER 3,,,three,,,,
3-DIMENSIONAL SERVICES GROUP,,Michigan,72,Motor Vehicle Manufacturing,,122200000,3dimensional.com
3-DIMENSIONAL SERVICES GROUP,,Michigan,72,Motor Vehicle Manufacturing,,,3dimensional.com
4D SYSTEMS,,Michigan,82,machinery,,$32.5M,4dsysco.com
4D SYSTEMS,,Michigan,82,machinery,+1 (330) 352-1228,,4dsysco.com
4D SYSTEMS,,Michigan,82,machinery,+18003809165,,4dsysco.com
50 FLOOR,,,170,Retail,,65498000,http://www.50floor.com
50 FLOOR,,Georgia,170,Retail,,65498000,http://www.50floor.com
A. STUCKI,,,"501-1,000",Railroad Equipment Manufacturing,,271.6M,http://www.stucki.com
A. STUCKI,,,"501-1,000",Railroad Equipment Manufacturing,,271.6M,http://www.stucki.com/
A. STUCKI,https://www.linkedin.com/company/3339864,,ten,Railroad Equipment Manufacturing,,,http://www.stucki.com/
A. STUCKI,https://www.linkedin.com/company/3339864,Pennsylvania,"501-1,000",Railroad Equipment Manufacturing,,271.6M,http://www.stucki.com
A. STUCKI,https://www.linkedin.com/company/3339864,Pennsylvania,"501-1,000",Railroad Equipment Manufacturing,,271.6M,http://www.stucki.com/
A.J. ROSE,,,201-500,Automotive,,120.8M,http://www.AJRose.com
A.J. ROSE,https://www.linkedin.com/company/592276,Ohio,201-500,Automotive,,120.8M,http://www.AJRose.com
A.O. REED & CO.,,,201-500,Construction,,,https://aoreed.com/
A.O. REED & CO.,https://www.linkedin.com/company/ao-reed/,,201-500,Construction,,,https://aoreed.com/
A.P. MOLLER - MAERSK,,,"10,001+","Transportation, Logistics, Supply Chain and Storage",,,http://www.maersk.com/
A.P. MOLLER - MAERSK,https://www.linkedin.com/company/maersk-group/,,"10,001+","Transportation, Logistics, Supply Chain and Storage",,,http://www.maersk.com/
A123 SYSTEMS,,,"1,001-5,000",Renewable Energy Semiconductor Manufacturing,,,http://www.a123systems.com/
